HGT_prl,time,lat,lon,TMP_prl,TMP_2m,APCP_sfc
5852.79,703188000.0,,,292.65723,300.1521,0.0
5849.79,703209600.0,,,293.73535,300.18335,0.0
5846.79,703231200.0,,,292.7041,297.87085,0.15625
5845.79,703252800.0,,,291.62598,295.55835,0.2734375
5847.29,703274400.0,,,291.25098,295.5271,0.0
5848.79,703296000.0,,,289.81348,293.4021,0.0
5847.79,703317600.0,,,289.48535,292.8396,0.015625
5848.79,703339200.0,,,288.81348,298.87085,0.0
5849.79,703360800.0,,,289.61035,299.0896,0.0
5850.79,703382400.0,,,289.75098,299.24585,0.0
5851.79,703404000.0,,,289.3916,299.24585,0.0
5851.29,703425600.0,,,289.18848,299.0271,0.0
5851.79,703447200.0,,,286.75098,298.87085,0.0
5851.29,703468800.0,,,289.21973,298.93335,0.0
5851.79,703490400.0,,,290.15723,298.87085,0.0
5852.79,703512000.0,,,290.81348,298.74585,0.0
5853.79,703533600.0,,,292.78223,298.4021,0.0
5854.79,703555200.0,,,293.3916,298.05835,0.0
5855.79,703576800.0,,,293.23535,298.0271,0.0
5855.79,703598400.0,,,293.48535,297.9021,0.0
5854.79,703620000.0,,,292.29785,298.0271,0.0
5854.29,703641600.0,,,291.96973,298.4021,0.0
5855.79,703663200.0,,,291.50098,298.80835,0.0
5854.79,703684800.0,,,291.67285,298.7146,0.0
5853.79,703706400.0,,,290.87598,294.80835,0.0
5844.29,703728000.0,,,286.21973,298.43335,0.0
5844.29,703749600.0,,,289.12598,298.0896,0.03125
5842.79,703771200.0,,,290.8291,298.2771,0.0
5842.29,703792800.0,,,292.75098,298.12085,0.0
5845.79,703814400.0,,,291.31348,298.3396,2.1524449e-14
5848.79,703836000.0,,,291.2041,299.2146,0.0
5846.79,703857600.0,,,292.23535,299.43335,0.0
5848.29,703879200.0,,,292.81348,299.68335,0.0
5846.29,703900800.0,,,293.61035,299.7771,0.0
5840.79,703922400.0,,,293.21973,295.7771,0.0
5842.29,703944000.0,,,292.17285,295.9021,0.1796875
5841.29,703965600.0,,,291.43848,296.37085,0.0
5843.29,703987200.0,,,290.6416,296.2146,0.0
5843.79,704008800.0,,,289.98535,295.7146,0.109375
5844.79,704030400.0,,,288.40723,298.7146,0.0
5845.29,704052000.0,,,289.2666,298.93335,0.0
5847.29,704073600.0,,,289.1416,298.9646,0.0
5848.79,704095200.0,,,289.4541,298.80835,0.0
5849.29,704116800.0,,,289.25098,299.0271,0.0
5849.79,704138400.0,,,289.29785,298.8396,0.0
5847.79,704160000.0,,,287.68848,298.8396,0.0
5846.79,704181600.0,,,290.67285,298.4021,0.0
5847.29,704203200.0,,,291.04785,298.24585,0.0
5849.79,704224800.0,,,292.06348,298.0896,0.0
5851.79,704246400.0,,,292.92285,297.80835,0.0
5852.79,704268000.0,,,293.28223,297.62085,0.0
5852.79,704289600.0,,,292.18848,297.74585,0.0
5851.79,704311200.0,,,292.61035,297.4021,0.0
5852.79,704332800.0,,,292.81348,297.6521,0.0
5852.29,704354400.0,,,291.81348,298.18335,0.0
5852.79,704376000.0,,,292.04785,297.93335,0.0
5852.79,704397600.0,,,291.29785,292.9021,7.9681053e-14
5834.79,704419200.0,,,284.42285,297.7771,0.015625
5834.79,704440800.0,,,284.59473,297.87085,5.2041704000000004e-17
5834.29,704462400.0,,,286.36035,297.7146,0.0
5834.29,704484000.0,,,289.98535,297.74585,0.0
5835.29,704505600.0,,,291.17285,298.30835,0.0
5837.79,704527200.0,,,291.42285,298.6521,0.0
5838.29,704548800.0,,,291.46973,299.12085,0.0
5836.79,704570400.0,,,291.36035,299.2771,0.0
5838.29,704592000.0,,,292.5791,296.4021,0.0
5830.29,704613600.0,,,293.9541,291.12085,0.0
5834.29,704635200.0,,,291.0791,294.8396,0.0625
5832.79,704656800.0,,,291.34473,295.49585,0.0
5837.29,704678400.0,,,290.12598,295.93335,0.0234375
5838.79,704700000.0,,,288.9541,294.1521,0.171875
5839.79,704721600.0,,,288.0166,297.0271,0.1875
5840.79,704743200.0,,,288.3291,298.74585,0.09375
5842.29,704764800.0,,,288.50098,298.74585,0.0
5843.79,704786400.0,,,287.98535,298.7146,0.0
5845.79,704808000.0,,,288.46973,298.6521,0.0
5845.79,704829600.0,,,288.79785,298.3396,0.0
5846.79,704851200.0,,,290.18848,298.30835,0.0
5845.79,704872800.0,,,289.0166,297.93335,0.0
5844.79,704894400.0,,,289.1416,297.8396,0.0
5844.79,704916000.0,,,290.2666,297.43335,0.0
5845.79,704937600.0,,,291.04785,297.30835,0.0
5846.79,704959200.0,,,291.6416,297.2771,0.0
5847.79,704980800.0,,,292.46973,296.6521,0.0
5847.79,705002400.0,,,292.71973,297.12085,0.0
5847.29,705024000.0,,,292.71973,294.87085,0.0
5845.79,705045600.0,,,291.93848,297.43335,0.0
5846.79,705067200.0,,,291.71973,297.74585,0.0
5850.79,705088800.0,,,291.3916,295.2146,2.7755576e-17
5824.79,705110400.0,,,283.54785,297.0896,0.0
5825.79,705132000.0,,,283.31348,297.2146,0.0
5825.29,705153600.0,,,285.87598,297.4646,0.0
