time,latitude,longitude,UGRD_10m
1068746400.0,,,-0.28858304
1068768000.0,,,1.523919
1068789600.0,,,3.7895455
1068811200.0,,,2.680167
1068832800.0,,,2.0551682
1068854400.0,,,2.023916
1068876000.0,,,2.0707922
1068897600.0,,,0.72703993
1068919200.0,,,-1.9760824
1068940800.0,,,-0.97608066
1068962400.0,,,1.1645447
1068984000.0,,,-0.44483474
1069005600.0,,,-0.72607994
1069027200.0,,,-0.85108024
1069048800.0,,,0.75829506
1069070400.0,,,0.18016835
1069092000.0,,,-0.35108086
1069113600.0,,,1.1176687
1069135200.0,,,3.4301639
1069156800.0,,,4.367665
1069178400.0,,,2.9770424
1069200000.0,,,2.8207939
1069221600.0,,,0.47704244
1069243200.0,,,0.039543565
1069264800.0,,,-0.22608186
1069286400.0,,,-0.03858045
1069308000.0,,,0.5551684
1069329600.0,,,-0.4760815
1069351200.0,,,-0.69483143
1069372800.0,,,-0.47608155
1069394400.0,,,-0.05420097
1069416000.0,,,-0.80420417
1069437600.0,,,-1.5073276
1069459200.0,,,-0.538578
1069480800.0,,,2.5239177
1069502400.0,,,1.3051668
1069524000.0,,,1.1176697
1069545600.0,,,1.1489189
1069567200.0,,,-1.0073332
1069588800.0,,,-1.7104603
1069610400.0,,,-1.7260758
1069632000.0,,,-1.7417057
1069653600.0,,,0.08641783
1069675200.0,,,0.7582945
1069696800.0,,,0.6332956
1069718400.0,,,1.7114195
1069740000.0,,,-0.5229534
1069761600.0,,,-1.1010844
1069783200.0,,,0.66454077
1069804800.0,,,1.4926683
1069826400.0,,,0.24266861
1069848000.0,,,1.9301666
1069869600.0,,,2.5082922
1069891200.0,,,1.8207933
1069912800.0,,,0.96141803
1069934400.0,,,1.0395433
1069956000.0,,,1.5082927
1069977600.0,,,-0.21045655
1069999200.0,,,0.6645423
1070020800.0,,,0.2426676
1070042400.0,,,-1.0073321
1070064000.0,,,1.9926685
1070085600.0,,,-1.0542034
1070107200.0,,,-1.241709
1070128800.0,,,-0.44483006
1070150400.0,,,-0.77296823
1070172000.0,,,2.1957867
1070193600.0,,,1.461418
1070215200.0,,,-1.0229532
1070236800.0,,,-1.7104592
1070258400.0,,,-0.80421585
1070280000.0,,,-2.0073314
1070301600.0,,,-0.52295977
1070323200.0,,,-2.929203
1070344800.0,,,0.47704276
1070366400.0,,,1.5864191
1070388000.0,,,1.0707934
1070409600.0,,,1.3520408
1070431200.0,,,1.6489159
1070452800.0,,,1.0864178
1070474400.0,,,0.7270427
1070496000.0,,,0.93017
1070517600.0,,,0.53954285
1070539200.0,,,-0.06983115
1070560800.0,,,2.1176672
1070582400.0,,,1.3832932
1070604000.0,,,2.0395417
1070625600.0,,,0.74266887
1070647200.0,,,1.7114179
1070668800.0,,,0.6801673
1070690400.0,,,0.13329317
1070712000.0,,,0.07079353
1070733600.0,,,-0.9917069
1070755200.0,,,-0.24170657
1070776800.0,,,-0.22608392
1070798400.0,,,-0.05420805
1070820000.0,,,-0.8198386
1070841600.0,,,-0.66358
1070863200.0,,,-1.6167092
1070884800.0,,,1.2739155
1070906400.0,,,-1.5073311
1070928000.0,,,-1.2729524
1070949600.0,,,-1.3979557
1070971200.0,,,-2.0698316
1070992800.0,,,-2.9760787
1071014400.0,,,0.60204
1071036000.0,,,1.5864186
1071057600.0,,,-1.0542071
1071079200.0,,,2.3989146
1071100800.0,,,2.4770432
1071122400.0,,,-0.28858116
1071144000.0,,,0.492666
1071165600.0,,,-0.17920604
1071187200.0,,,1.4770437
1071208800.0,,,0.43016756
1071230400.0,,,0.10204401
1071252000.0,,,1.4926687
1071273600.0,,,3.102042
1071295200.0,,,2.055168
1071316800.0,,,1.6332935
1071338400.0,,,0.53954273
1071360000.0,,,2.4614165
1071381600.0,,,0.14891838
1071403200.0,,,-0.35108185
1071424800.0,,,0.7426678
1071446400.0,,,3.1332936
1071468000.0,,,3.1489143
1071489600.0,,,0.55517393
1071511200.0,,,-0.49170426
1071532800.0,,,-1.1167055
1071554400.0,,,-1.8042079
1071576000.0,,,-1.4917005
1071597600.0,,,-0.39796415
1071619200.0,,,0.6020368
1071640800.0,,,-1.460455
1071662400.0,,,-0.038581
1071684000.0,,,-0.007332192
1071705600.0,,,0.19579302
1071727200.0,,,1.1176685
1071748800.0,,,-0.49170253
1071770400.0,,,-0.47608423
1071792000.0,,,-1.6323298
1071813600.0,,,-0.8510811
1071835200.0,,,0.21141712
