time,latitude,longitude,VGRD_10m
857606400.0,,,-6.022582
857628000.0,,,-6.116332
857649600.0,,,-5.1319575
857671200.0,,,-6.147582
857692800.0,,,-5.163206
857714400.0,,,-4.100707
857736000.0,,,-4.522581
857757600.0,,,-4.163204
857779200.0,,,-3.7725818
857800800.0,,,-2.2725804
857822400.0,,,-1.5538296
857844000.0,,,-0.96008015
857865600.0,,,-4.803832
857887200.0,,,-5.585082
857908800.0,,,-5.881955
857930400.0,,,-4.9757085
857952000.0,,,-5.6944585
857973600.0,,,-4.694456
857995200.0,,,-4.319456
858016800.0,,,-5.0694547
858038400.0,,,-3.3038297
858060000.0,,,-0.6163287
858081600.0,,,-0.44445536
858103200.0,,,-1.100708
858124800.0,,,-1.3975793
858146400.0,,,-0.6944565
858168000.0,,,-2.7257047
858189600.0,,,-3.6319566
858211200.0,,,-4.8350806
858232800.0,,,-5.4132066
858254400.0,,,-6.1944566
858276000.0,,,-6.6319566
858297600.0,,,-6.8038325
858319200.0,,,-6.6475816
858340800.0,,,-6.256956
858362400.0,,,-5.4600816
858384000.0,,,-5.0694556
858405600.0,,,-4.819456
858427200.0,,,-4.3819537
858448800.0,,,-3.2569551
858470400.0,,,-1.8350792
858492000.0,,,-1.8819556
858513600.0,,,-1.2569562
858535200.0,,,0.21179496
858556800.0,,,-5.1163306
858578400.0,,,-5.2882094
858600000.0,,,-5.9444547
858621600.0,,,-5.5382066
858643200.0,,,-5.6788297
858664800.0,,,-4.8819556
858686400.0,,,-4.428832
858708000.0,,,-4.4757075
858729600.0,,,-2.9757044
858751200.0,,,1.0867901
858772800.0,,,-0.50695515
858794400.0,,,-0.6944541
858816000.0,,,0.25867254
858837600.0,,,0.28991827
858859200.0,,,-0.53820586
858880800.0,,,-2.3194559
858902400.0,,,-4.0694566
858924000.0,,,-5.460081
858945600.0,,,-6.256956
858967200.0,,,-7.1475816
858988800.0,,,-7.131956
859010400.0,,,-7.006956
859032000.0,,,-7.0069566
859053600.0,,,-6.616332
859075200.0,,,-5.6475797
859096800.0,,,-5.1007066
859118400.0,,,-3.6163313
859140000.0,,,-2.6475785
859161600.0,,,-1.9600761
859183200.0,,,-2.710079
859204800.0,,,-3.2413306
859226400.0,,,0.75867
859248000.0,,,-4.6319594
859269600.0,,,-5.663206
859291200.0,,,-5.7882075
859312800.0,,,-6.006956
859334400.0,,,-5.9288306
859356000.0,,,-5.2882047
859377600.0,,,-4.116333
859399200.0,,,-5.2100797
859420800.0,,,-2.6788142
859442400.0,,,1.1805459
859464000.0,,,1.4930422
859485600.0,,,-0.49133033
859507200.0,,,1.5555443
859528800.0,,,1.0242987
859550400.0,,,1.2899227
859572000.0,,,-0.9132064
859593600.0,,,-2.7725825
859615200.0,,,-5.178831
859636800.0,,,-6.116331
859658400.0,,,-7.1319566
859680000.0,,,-7.631956
859701600.0,,,-7.0694575
859723200.0,,,-7.366331
859744800.0,,,-7.3038316
859766400.0,,,-6.569456
859788000.0,,,-5.6163306
859809600.0,,,-4.053832
859831200.0,,,-3.7413347
859852800.0,,,2.2742944
859874400.0,,,-0.3819528
859896000.0,,,-3.24133
859917600.0,,,-0.14758196
859939200.0,,,-4.631956
859960800.0,,,-5.3819566
859982400.0,,,-6.397582
860004000.0,,,-6.772581
860025600.0,,,-6.210079
860047200.0,,,-5.163207
860068800.0,,,-5.241332
860090400.0,,,-4.4600787
860112000.0,,,-0.30382982
860133600.0,,,1.1024175
860155200.0,,,1.6336689
860176800.0,,,1.4774231
860198400.0,,,0.961798
860220000.0,,,2.9774168
860241600.0,,,2.868045
860263200.0,,,1.7899159
860284800.0,,,-0.63195807
860306400.0,,,-3.02258
860328000.0,,,-4.803831
860349600.0,,,-6.5694547
860371200.0,,,-7.3507056
860392800.0,,,-8.303831
860414400.0,,,-7.6632075
860436000.0,,,-7.6788316
860457600.0,,,-6.897582
860479200.0,,,-6.303831
860500800.0,,,-5.272579
860522400.0,,,-5.0069566
860544000.0,,,-0.2725875
860565600.0,,,1.3211539
860587200.0,,,-0.96008027
860608800.0,,,-0.7882029
860630400.0,,,-3.7257066
860652000.0,,,-4.8975816
860673600.0,,,-6.0538325
860695200.0,,,-6.288206
860716800.0,,,-6.819456
860738400.0,,,-6.5382075
860760000.0,,,-5.89758
860781600.0,,,-4.0538297
860803200.0,,,0.44616845
860824800.0,,,1.7899173
860846400.0,,,2.7586691
860868000.0,,,2.539917
860889600.0,,,1.7586681
860911200.0,,,1.8836704
860932800.0,,,-0.4444545
860954400.0,,,-1.1163273
860976000.0,,,1.1805387
860997600.0,,,0.055545542
861019200.0,,,-2.7569556
861040800.0,,,-5.4913306
861062400.0,,,-6.2882056
861084000.0,,,-8.006955
861105600.0,,,-8.100706
861127200.0,,,-8.131956
861148800.0,,,-7.585081
861170400.0,,,-7.022581
861192000.0,,,-5.241331
861213600.0,,,-4.538204
861235200.0,,,-2.3194566
861256800.0,,,0.50866413
861278400.0,,,0.5711684
861300000.0,,,-0.33507895
861321600.0,,,-2.8038306
861343200.0,,,-4.053832
861364800.0,,,-4.8819566
861386400.0,,,-5.9600825
861408000.0,,,-6.663205
861429600.0,,,-7.522581
861451200.0,,,-7.225706
861472800.0,,,-6.272578
861494400.0,,,-0.10070971
861516000.0,,,2.9461699
861537600.0,,,2.7274168
861559200.0,,,0.16492015
861580800.0,,,0.49304602
861602400.0,,,1.0867926
861624000.0,,,-1.08508
861645600.0,,,-0.9288272
861667200.0,,,-2.3194594
861688800.0,,,1.8211613
861710400.0,,,0.24304561
861732000.0,,,-1.225704
861753600.0,,,-4.756955
861775200.0,,,-6.6944556
861796800.0,,,-7.569456
861818400.0,,,-7.4132056
861840000.0,,,-6.850706
861861600.0,,,-6.538206
861883200.0,,,-4.5382037
861904800.0,,,-0.5382056
861926400.0,,,-1.6788298
861948000.0,,,-1.6319543
861969600.0,,,-0.8663276
861991200.0,,,0.18054485
862012800.0,,,-2.4288301
862034400.0,,,-2.7569566
862056000.0,,,-3.913207
862077600.0,,,-5.8350825
862099200.0,,,-5.61633
862120800.0,,,-4.3819504
862142400.0,,,-4.866331
862164000.0,,,-6.928823
862185600.0,,,1.0555362
862207200.0,,,1.5086609
862228800.0,,,2.414916
862250400.0,,,-0.8975833
862272000.0,,,-0.28820378
862293600.0,,,2.1961596
862315200.0,,,2.0399148
862336800.0,,,-0.10070968
862358400.0,,,0.89929044
862380000.0,,,-2.8663275
862401600.0,,,0.27429274
862423200.0,,,1.1805339
862444800.0,,,-1.7257054
862466400.0,,,-5.2882047
862488000.0,,,-6.77258
862509600.0,,,-6.39758
862531200.0,,,-5.803831
862552800.0,,,-7.1319547
862574400.0,,,-1.6006988
862596000.0,,,0.21179554
862617600.0,,,-0.24133188
862639200.0,,,-0.33508417
862660800.0,,,0.6492968
862682400.0,,,1.1961557
862704000.0,,,-2.694454
862725600.0,,,-2.7725823
862747200.0,,,-3.0382073
862768800.0,,,-4.788207
862790400.0,,,-5.1007032
862812000.0,,,-2.8038297
862833600.0,,,-3.4444504
862855200.0,,,-6.4131994
862876800.0,,,-3.3350775
862898400.0,,,-0.77257556
862920000.0,,,0.2586737
862941600.0,,,2.2899184
862963200.0,,,1.6180418
862984800.0,,,0.19617006
863006400.0,,,0.61804277
863028000.0,,,-0.6475888
863049600.0,,,-2.288207
863071200.0,,,-2.272582
863092800.0,,,-0.06946062
863114400.0,,,0.0555454
863136000.0,,,0.68054414
863157600.0,,,-4.8507147
863179200.0,,,-4.2882056
863200800.0,,,-2.8038292
863222400.0,,,-3.6788292
863244000.0,,,-4.2413235
863265600.0,,,0.5555437
863287200.0,,,-0.06945783
863308800.0,,,-1.6006993
863330400.0,,,-0.55383134
863352000.0,,,-0.56945467
863373600.0,,,-0.97570366
863395200.0,,,-0.9600822
863416800.0,,,-2.0225787
863438400.0,,,-2.725706
863460000.0,,,-2.3975792
863481600.0,,,-3.163201
863503200.0,,,-2.381956
863524800.0,,,-2.335081
863546400.0,,,-2.6788316
863568000.0,,,-0.05383984
863589600.0,,,0.5086779
863611200.0,,,0.43054903
863632800.0,,,0.53992367
863654400.0,,,2.2430444
863676000.0,,,1.0555443
863697600.0,,,0.38366753
863719200.0,,,2.5242903
863740800.0,,,1.9305385
863762400.0,,,1.0867885
863784000.0,,,1.6649209
863805600.0,,,-0.506959
863827200.0,,,-1.6475835
863848800.0,,,-2.5069559
863870400.0,,,-2.21008
863892000.0,,,-1.0850844
863913600.0,,,2.102397
863935200.0,,,-0.41320568
863956800.0,,,0.07116972
863978400.0,,,-0.28820756
864000000.0,,,-2.3194537
864021600.0,,,0.2586676
864043200.0,,,-0.28820428
864064800.0,,,0.1336681
864086400.0,,,1.1805378
864108000.0,,,-1.350707
864129600.0,,,-0.42882755
864151200.0,,,-0.31946012
864172800.0,,,-1.2882032
864194400.0,,,-2.55383
864216000.0,,,-1.631957
864237600.0,,,-1.3975782
864259200.0,,,-1.9132092
864280800.0,,,-0.94445586
864302400.0,,,-0.24132727
864324000.0,,,0.102417216
864345600.0,,,-1.4444481
864367200.0,,,-2.0694587
864388800.0,,,-2.2882044
864410400.0,,,-0.92883486
864432000.0,,,-2.6163306
864453600.0,,,-1.3975797
864475200.0,,,-1.6788305
864496800.0,,,-2.1319559
864518400.0,,,-2.4913309
864540000.0,,,-1.6475804
864561600.0,,,-2.2725828
864583200.0,,,-2.6788301
864604800.0,,,-0.60071003
864626400.0,,,-0.35070485
864648000.0,,,0.39929453
864669600.0,,,0.07116715
864691200.0,,,-1.8663312
864712800.0,,,-1.3194551
864734400.0,,,-0.5694566
864756000.0,,,0.14929527
864777600.0,,,-0.08507877
864799200.0,,,1.2430454
864820800.0,,,-0.50695634
864842400.0,,,-1.2100767
864864000.0,,,0.9149189
864885600.0,,,-0.9757063
864907200.0,,,-2.3663294
864928800.0,,,-0.710078
864950400.0,,,1.4461675
864972000.0,,,-0.9757021
864993600.0,,,-2.5069573
865015200.0,,,-0.75695527
865036800.0,,,-2.1475847
865058400.0,,,-2.6007037
865080000.0,,,-2.0850809
865101600.0,,,-1.9600806
865123200.0,,,1.1649185
865144800.0,,,0.07116544
865166400.0,,,-0.22571042
865188000.0,,,-0.08508011
865209600.0,,,-1.8819526
865231200.0,,,-0.3975814
865252800.0,,,-1.8350776
865274400.0,,,-1.0538284
865296000.0,,,-0.8975803
865317600.0,,,0.85242146
865339200.0,,,-0.1944538
865360800.0,,,0.53991884
865382400.0,,,-0.58508146
865404000.0,,,-0.13195822
865425600.0,,,-0.66320515
865447200.0,,,0.24304406
865468800.0,,,4.8367968
865490400.0,,,3.5086744
865512000.0,,,2.8836672
865533600.0,,,1.0711682
865555200.0,,,0.27429795
865576800.0,,,0.2586667
865598400.0,,,-1.9288303
865620000.0,,,-0.8038321
865641600.0,,,-0.13194847
865663200.0,,,0.071166925
865684800.0,,,-0.9600826
865706400.0,,,-1.6475825
865728000.0,,,-0.5538334
865749600.0,,,-1.7882036
865771200.0,,,-1.8663304
865792800.0,,,-0.6007046
865814400.0,,,1.6180445
865836000.0,,,1.430546
865857600.0,,,-1.1944524
865879200.0,,,-1.1632055
865900800.0,,,1.9149214
865922400.0,,,1.633667
865944000.0,,,0.22741769
865965600.0,,,-2.0694554
865987200.0,,,-0.67883384
866008800.0,,,0.25866258
866030400.0,,,-0.9757049
866052000.0,,,-1.1788294
866073600.0,,,-0.33508158
866095200.0,,,0.243042
866116800.0,,,0.13366832
866138400.0,,,0.03991784
866160000.0,,,1.3524201
866181600.0,,,3.0867927
866203200.0,,,0.18053938
866224800.0,,,0.24304044
866246400.0,,,2.1336696
866268000.0,,,1.9930425
866289600.0,,,-1.5694566
866311200.0,,,0.7899211
866332800.0,,,1.6336689
866354400.0,,,1.4617938
866376000.0,,,0.21179429
866397600.0,,,-1.89758
866419200.0,,,-1.9913301
866440800.0,,,-2.3663273
866462400.0,,,-2.006956
866484000.0,,,-1.7725792
866505600.0,,,-1.1163313
866527200.0,,,0.30554596
866548800.0,,,0.66492146
866570400.0,,,1.446168
866592000.0,,,1.961792
866613600.0,,,1.008666
866635200.0,,,0.50867015
866656800.0,,,0.4461689
866678400.0,,,0.008669803
866700000.0,,,1.4149157
866721600.0,,,-1.2725799
866743200.0,,,0.36804467
866764800.0,,,-0.6319552
866786400.0,,,0.41491884
866808000.0,,,-0.28820685
866829600.0,,,0.11804386
866851200.0,,,-2.6632035
866872800.0,,,-0.585073
866894400.0,,,1.149279
866916000.0,,,-1.9444551
866937600.0,,,2.1649127
866959200.0,,,-0.56945664
866980800.0,,,-0.772579
867002400.0,,,0.16491905
867024000.0,,,1.2117923
867045600.0,,,1.3680439
867067200.0,,,0.6336608
867088800.0,,,-0.36633283
867110400.0,,,-0.66321075
867132000.0,,,-1.7725813
867153600.0,,,-1.6163322
867175200.0,,,-0.5382049
867196800.0,,,0.39929536
867218400.0,,,0.83679336
867240000.0,,,0.85241807
867261600.0,,,0.49304557
867283200.0,,,-0.16321664
867304800.0,,,-2.069458
867326400.0,,,0.16491936
867348000.0,,,1.5242956
867369600.0,,,0.80554354
867391200.0,,,1.0086713
867412800.0,,,1.508665
867434400.0,,,-0.16320579
867456000.0,,,-0.6007051
867477600.0,,,-0.31945643
867499200.0,,,-0.9757065
867520800.0,,,-0.053830057
867542400.0,,,0.96179897
867564000.0,,,3.0555444
867585600.0,,,-0.35071337
867607200.0,,,1.0086757
867628800.0,,,-0.61633384
867650400.0,,,-1.5694584
867672000.0,,,-1.5694574
867693600.0,,,-2.600705
867715200.0,,,-2.3663316
867736800.0,,,-2.4913301
867758400.0,,,-1.3819529
867780000.0,,,-1.1319568
867801600.0,,,-2.8350794
867823200.0,,,-2.1319554
867844800.0,,,0.4774193
867866400.0,,,0.74304426
867888000.0,,,1.2274175
867909600.0,,,1.1649146
867931200.0,,,2.1805418
867952800.0,,,2.493046
867974400.0,,,2.1805446
867996000.0,,,1.5555464
868017600.0,,,2.477414
868039200.0,,,0.8836695
868060800.0,,,-0.4757084
868082400.0,,,1.4305441
868104000.0,,,2.539917
868125600.0,,,1.3992945
868147200.0,,,0.78991956
868168800.0,,,1.4774158
868190400.0,,,1.3211693
868212000.0,,,3.0711696
868233600.0,,,-3.3350763
868255200.0,,,1.0555427
868276800.0,,,0.18053998
868298400.0,,,-0.55382615
868320000.0,,,3.383666
868341600.0,,,-1.4913372
868363200.0,,,-3.5850735
868384800.0,,,0.30554336
868406400.0,,,0.102418184
868428000.0,,,-1.3038347
868449600.0,,,-2.225706
868471200.0,,,-0.89757544
868492800.0,,,-0.8507036
868514400.0,,,0.6492939
868536000.0,,,-0.16320525
868557600.0,,,-0.444457
868579200.0,,,-1.6632034
868600800.0,,,0.38366756
868622400.0,,,0.008670621
868644000.0,,,1.1492964
868665600.0,,,0.27429557
868687200.0,,,0.99304295
868708800.0,,,0.5867924
868730400.0,,,-1.2413296
868752000.0,,,-1.6788312
868773600.0,,,0.10241712
868795200.0,,,0.5711665
868816800.0,,,0.55554575
868838400.0,,,-0.38195455
868860000.0,,,-1.1007065
868881600.0,,,-0.975705
868903200.0,,,-0.9444562
868924800.0,,,-0.9132073
868946400.0,,,-1.6788318
868968000.0,,,3.289922
868989600.0,,,3.6336803
869011200.0,,,5.258668
869032800.0,,,-3.1319602
869054400.0,,,-2.9600813
869076000.0,,,-0.99132776
869097600.0,,,-1.616328
869119200.0,,,-2.7413304
869140800.0,,,-1.3819542
869162400.0,,,0.3524188
869184000.0,,,0.43054387
869205600.0,,,-0.96008486
869227200.0,,,1.4305427
869248800.0,,,2.7586694
869270400.0,,,3.2899156
869292000.0,,,2.3992965
869313600.0,,,1.9774169
869335200.0,,,-1.4757107
869356800.0,,,0.57116914
869378400.0,,,0.02429576
869400000.0,,,0.38366815
869421600.0,,,-0.11633202
